"","Date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"1","20020105",0.0106904087588191,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,7.7196782513056e-05,5.59608088224195e-05,3.68271284969524e-05,3.04643272102112e-05,2.39602886722423e-05,1.79019079951104e-05,1.36158687382704e-05,1.1788411939051e-05,1.13700170913944e-05,1.13090545710293e-05,1.00051383924438e-05,1.00124634627718e-05,1.011663061945e-05,1.05952112789964e-05,1.15818884296459e-05,1.26166642075987e-05,1.29825766634895e-05,1.2264191354916e-05,1.12501547846477e-05,1.03081129054772e-05,1.00194511105656e-05,1.15120465125074e-05,1.69832583196694e-05,1.81190007424448e-05,3.88886655855458e-05,4.39775176346302e-05,4.05551290896256e-05,3.40949445671868e-05,2.80595086223911e-05,2.39838827837957e-05,2.226275682915e-05,2.23148945224239e-05,2.23997194552794e-05,2.29451434279326e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","20020110",0.0390509851276875,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000467619043774903,0.000128661427879706,9.06560890143737e-05,6.68694920022972e-05,5.17850094183814e-05,3.72214235540014e-05,2.51603651122423e-05,1.66171248565661e-05,1.26131335491664e-05,1.00688112070202e-05,1.00057959571132e-05,1.00163888419047e-05,1.0117432793777e-05,1.05414046629448e-05,1.14756603579735e-05,1.25533324535354e-05,1.29867557916441e-05,1.23071758935112e-05,1.13357227746747e-05,1.03786815088824e-05,1.00190827652114e-05,1.14595823106356e-05,1.70424518728396e-05,1.78662703547161e-05,3.80180063075386e-05,4.38688693975564e-05,4.05738355766516e-05,3.40260776283685e-05,2.80539370578481e-05,2.40224690060131e-05,2.23147635551868e-05,2.21783648157725e-05,2.24079667532351e-05,2.28297012654366e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20020115",0.0953311920166016,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000419575197156519,0.000148209030157886,8.98714934010059e-05,6.47944034426473e-05,4.26329534093384e-05,2.64619557128754e-05,1.60653726197779e-05,1.11556682895753e-05,1.01391142379725e-05,1.00346751423785e-05,1.01704836197314e-05,1.05939971035696e-05,1.14701479105861e-05,1.25429487525253e-05,1.30225616885582e-05,1.23337704280857e-05,1.13790874820552e-05,1.04276323327213e-05,1.00186471172492e-05,1.14761778604588e-05,1.72860345628578e-05,1.79227026819717e-05,3.64061379514169e-05,4.35228539572563e-05,4.07923471357208e-05,3.4332915674895e-05,2.8231992473593e-05,2.41476409428287e-05,2.24099076149287e-05,2.19982794078533e-05,2.21803020394873e-05,2.28773478738731e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","20020120",0.0375808775424957,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000155754198203795,7.16468057362363e-05,3.60312333214097e-05,2.46402305492666e-05,1.65140900207916e-05,1.13342766780988e-05,1.02398844319396e-05,1.00144407042535e-05,1.00628258223878e-05,1.02319672805606e-05,1.06558372863219e-05,1.14713357106666e-05,1.25210872283787e-05,1.30571579575189e-05,1.23421132229851e-05,1.13819269245141e-05,1.04573073258507e-05,1.00183224276407e-05,1.14818885776913e-05,1.72347408806672e-05,1.7939039025805e-05,3.48116263921838e-05,4.31315129389986e-05,4.09258100262377e-05,3.46180604537949e-05,2.84873731288826e-05,2.43784561462235e-05,2.26340889639687e-05,2.19655648834305e-05,2.2099224224803e-05,2.26605843636207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","20020125",0.0293305106461048,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000242033842368983,0.000109245236671995,3.53426730725914e-05,2.1055571778561e-05,1.36848802867462e-05,1.08074273157399e-05,1.01404793895199e-05,1.00362976809265e-05,1.01212372101145e-05,1.03308311736328e-05,1.07641280919779e-05,1.15452385216486e-05,1.25587357615586e-05,1.3123238204571e-05,1.23563650049618e-05,1.13699197754613e-05,1.04665350590949e-05,1.00180450317566e-05,1.14886379378731e-05,1.72531836142298e-05,1.86490960913943e-05,3.3560940210009e-05,4.27515187766403e-05,4.11581168009434e-05,3.50408372469246e-05,2.87963503069477e-05,2.45827668550191e-05,2.27631499001291e-05,2.1896043108427e-05,2.20527217607014e-05,2.25719577429118e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","20020130",0.128815770149231,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.00437614927068353,0.000580110063310713,0.000104544815258123,1.67993457580451e-05,1.14569547804422e-05,1.01848108897684e-05,1.02344620245276e-05,1.04945074781426e-05,1.09480997707578e-05,1.17205236165319e-05,1.269512813451e-05,1.3216908882896e-05,1.23935014926246e-05,1.13614387373673e-05,1.04592500065337e-05,1.00180841400288e-05,1.14554877654882e-05,1.71170941030141e-05,1.8957440261147e-05,3.30719049088657e-05,4.25785328843631e-05,4.14144669775851e-05,3.54489602614194e-05,2.90134339593351e-05,2.46561321546324e-05,2.27670243475586e-05,2.18910663534189e-05,2.19403318624245e-05,2.2419397282647e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","20020205",0.0474165491759777,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000420149648562074,9.19358863029629e-05,1.08653903225786e-05,1.02270487332135e-05,1.03945394585025e-05,1.07030109575135e-05,1.11898107206798e-05,1.19801006803755e-05,1.29163763631368e-05,1.32747045427095e-05,1.23847330542048e-05,1.13034748210339e-05,1.03824968391564e-05,1.00183333415771e-05,1.15745278890245e-05,1.66984482348198e-05,1.83731808647281e-05,3.53786199411843e-05,4.31281587225385e-05,4.12359804613516e-05,3.5021650546696e-05,2.84966718027135e-05,2.4259996280307e-05,2.2433361664298e-05,2.1911837393418e-05,2.22432263399241e-05,2.24636023631319e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","20020210",0.0656971111893654,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000382955506211147,2.41093875956722e-05,1.06206907730666e-05,1.10771397885401e-05,1.18656807899242e-05,1.29077980091097e-05,1.3379441043071e-05,1.24661628433387e-05,1.13362666525063e-05,1.04428108897991e-05,1.00182587630115e-05,1.14126823973493e-05,1.66114714374999e-05,1.79417274921434e-05,3.44875334121753e-05,4.33178611274343e-05,4.18516901845578e-05,3.57033204636537e-05,2.9017697670497e-05,2.4719965949771e-05,2.27129767154111e-05,2.18441837205319e-05,2.18098193727201e-05,2.2535461539519e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","20020215",0.016855750232935,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,5.84642621106468e-05,1.0588506484055e-05,1.17658573799417e-05,1.28672218124848e-05,1.34278488985728e-05,1.25221686175792e-05,1.13599580799928e-05,1.04703294709907e-05,1.00185188784963e-05,1.13914875328192e-05,1.65542660397477e-05,1.82876210601535e-05,3.46041997545399e-05,4.37664821220096e-05,4.2265237425454e-05,3.5994791687699e-05,2.91432261292357e-05,2.486574339855e-05,2.27568307309411e-05,2.17822816921398e-05,2.16175685636699e-05,2.26837146328762e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","20020220",0.0486365295946598,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000104308965092059,1.15226894195075e-05,1.28161591419484e-05,1.34252877614927e-05,1.25396745715989e-05,1.13733367470559e-05,1.04803584690671e-05,1.0018797183875e-05,1.13913547465927e-05,1.65043857123237e-05,1.87169116543373e-05,3.5158187529305e-05,4.42904565716162e-05,4.26487713411916e-05,3.6181208997732e-05,2.91750602627872e-05,2.48693777393783e-05,2.27232230827212e-05,2.16897260543192e-05,2.14324245462194e-05,2.3029584554024e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
