day,irradiance
1,52.104
2,39.579
3,37.074
4,20.875
5,52.438
6,45.257
7,37.742
8,19.873
9,17.535
10,17.535
11,74.649
12,74.649
13,49.432
14,39.412
15,45.758
16,45.758
17,60.454
18,170.507
19,47.261
20,47.261
21,61.122
22,61.122
23,62.625
24,111.389
25,120.407
26,65.464
27,123.747
28,69.806
29,159.986
30,121.743
31,140.447
32,76.319
33,234.301
34,50.935
35,158.65
36,268.369
37,274.047
38,294.421
39,179.191
40,209.084
41,172.511
42,184.702
43,90.848
44,53.607
45,147.628
46,128.423
47,137.608
48,214.929
49,193.219
50,348.529
51,116.232
52,92.852
53,133.6
54,319.638
55,152.805
56,377.42
57,434.534
58,403.639
59,446.057
60,192.551
61,92.017
62,149.298
63,293.753
64,133.266
65,319.805
66,358.883
67,407.647
68,364.895
69,608.047
70,608.715
71,585.335
72,587.673
73,423.345
74,644.119
75,453.238
76,225.951
77,286.739
78,377.587
79,729.289
80,97.528
81,668.835
82,420.506
83,457.914
84,486.972
85,787.739
86,730.792
87,576.484
88,576.484
89,491.147
90,692.382
91,793.584
92,222.444
93,717.098
94,691.213
95,570.806
96,868.567
97,583.832
98,695.722
99,864.726
100,917.164
101,276.218
102,281.562
103,472.443
104,17.034
105,284.735
106,577.653
107,408.983
108,805.775
109,773.878
110,280.393
111,573.311
112,228.623
113,1010.52
114,606.711
115,439.711
116,283.065
117,442.884
118,640.445
119,352.537
120,609.049
121,656.978
122,705.742
123,778.721
124,1086.34
125,678.521
126,851.199
127,912.321
128,1221.44
129,1098.86
130,396.625
131,276.385
132,1202.07
133,239.311
134,663.324
135,1049.93
136,1252.5
137,1368.9
138,1337.17
139,1138.27
140,899.629
141,1238.97
142,1401.97
143,1297.42
144,1391.44
145,1431.36
146,1295.25
147,1355.87
148,1363.39
149,1300.1
150,1161.49
151,956.743
152,999.829
153,626.918
154,619.403
155,1361.38
156,1226.95
157,294.254
158,1219.43
159,791.58
160,1330.82
161,1346.02
162,1260.68
163,819.97
164,1096.19
165,307.781
166,839.175
167,801.6
168,1189.71
169,777.552
170,406.311
171,486.137
172,986.636
173,1155.97
174,1227.28
175,353.706
176,1481.96
177,663.491
178,1128.25
179,1147.79
180,1240.64
181,1366.73
182,865.06
183,820.805
184,1288.24
185,502.169
186,792.248
187,1370.74
188,1382.43
189,1393.28
190,1335.67
191,436.705
192,610.385
193,350.867
194,606.377
195,305.109
196,418.001
197,278.055
198,571.474
199,1010.68
200,863.223
201,677.853
202,1108.21
203,333.666
204,401.635
205,769.703
206,570.973
207,403.973
208,354.875
209,579.991
210,485.469
211,215.597
212,1037.4
213,1138.77
214,270.373
215,888.774
216,1141.11
217,900.798
218,170.006
219,434.701
220,790.745
221,1028.72
222,753.337
223,1023.54
224,912.655
225,826.984
226,831.326
227,593.017
228,572.977
229,478.455
230,984.465
231,732.629
232,312.958
233,448.395
234,412.156
235,826.65
236,497.326
237,360.887
238,405.977
239,144.622
240,354.374
241,247.16
242,199.398
243,859.716
244,625.081
245,511.354
246,262.858
247,622.075
248,296.091
249,226.118
250,405.643
251,290.747
252,310.453
253,296.091
254,595.522
255,582.162
256,728.12
257,719.77
258,722.442
259,471.107
260,182.865
261,146.125
262,642.115
263,357.547
264,490.813
265,581.16
266,117.735
267,502.837
268,123.747
269,128.924
270,378.255
271,346.024
272,349.364
273,129.425
274,366.398
275,262.023
276,195.891
277,195.056
278,56.279
279,248.997
280,226.285
281,509.851
282,265.864
283,85.504
284,377.086
285,276.552
286,108.717
287,151.636
288,105.21
289,164.161
290,332.163
291,404.641
292,398.128
293,216.265
294,386.104
295,263.359
296,109.552
297,50.1
298,324.314
299,225.116
300,79.659
301,57.114
302,299.097
303,211.589
304,73.814
305,69.973
306,178.022
307,65.464
308,219.438
309,64.128
310,78.824
311,195.557
312,135.938
313,91.516
314,230.126
315,152.805
316,109.552
317,172.01
318,183.366
319,15.03
320,25.718
321,149.799
322,134.602
323,53.607
324,14.696
325,98.029
326,175.183
327,45.758
328,77.655
329,43.086
330,74.148
331,87.675
332,122.745
333,72.311
334,53.106
335,29.392
336,132.598
337,22.378
338,28.891
339,45.925
340,54.943
341,51.102
342,77.989
343,54.275
344,100.701
345,57.448
346,78.991
347,62.625
348,49.432
349,62.625
350,64.295
351,125.25
352,52.772
353,54.776
354,42.084
355,30.895
356,56.279
357,36.573
358,83.834
359,51.436
360,47.595
361,48.096
362,42.084
363,66.132
364,27.889
365,56.279
