"","nc_SWF"
"1",437.939270019531
"2",419.474884033203
"3",400.639617919922
"4",392.765533447266
"5",331.606536865234
"6",309.204254150391
"7",370.317565917969
"8",340.869079589844
"9",364.415924072266
"10",363.956298828125
"11",411.379760742188
"12",408.276489257812
"13",324.739990234375
"14",219.021728515625
"15",262.003723144531
"16",376.570037841797
"17",318.864715576172
"18",378.935943603516
"19",305.502990722656
"20",306.948974609375
"21",322.673706054688
"22",364.981842041016
"23",290.428161621094
"24",268.391326904297
"25",301.611389160156
"26",249.260009765625
"27",347.795349121094
"28",301.704071044922
"29",298.966522216797
"30",296.016387939453
"31",317.990905761719
"32",324.082397460938
"33",321.692749023438
"34",311.432281494141
"35",304.863342285156
"36",302.469818115234
"37",288.67919921875
"38",276.999542236328
"39",217.275939941406
"40",262.707183837891
"41",227.008270263672
"42",205.586044311523
"43",253.091857910156
"44",248.543869018555
"45",228.192199707031
"46",211.689819335938
"47",212.976928710938
"48",220.171112060547
"49",213.12727355957
"50",204.951400756836
"51",198.642883300781
"52",178.869247436523
"53",111.721031188965
"54",165.176223754883
"55",135.242782592773
"56",162.198760986328
"57",154.143203735352
"58",151.895690917969
"59",147.757827758789
"60",136.98176574707
"61",129.680206298828
"62",124.045394897461
"63",118.840522766113
"64",98.9420394897461
"65",101.119102478027
"66",99.5492095947266
"67",96.0251617431641
"68",91.5338821411133
"69",86.6191635131836
"70",83.768684387207
"71",77.8502426147461
"72",74.10888671875
"73",70.1455993652344
"74",64.0221176147461
"75",60.374813079834
"76",52.7549133300781
"77",37.4812316894531
"78",43.5686378479004
"79",44.5349426269531
"80",41.9140090942383
"81",37.9029388427734
"82",29.2591381072998
"83",16.7299747467041
"84",15.8931674957275
"85",19.1978893280029
"86",14.1253271102905
"87",20.0454044342041
"88",16.8248271942139
"89",15.8035135269165
"90",10.1684274673462
"91",10.1904697418213
"92",9.17925643920898
"93",7.94427537918091
"94",5.47878265380859
"95",4.36541652679443
"96",2.99348020553589
"97",2.59957242012024
"98",1.65303540229797
"99",0.695023536682129
"100",0.326224237680435
"101",0.0628999248147011
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0.000472925807116553
"241",0.20532363653183
"242",0.659858822822571
"243",1.27194678783417
"244",1.9678201675415
"245",3.14053916931152
"246",4.29470443725586
"247",5.66706848144531
"248",7.14281940460205
"249",8.67160606384277
"250",10.6384773254395
"251",12.6785125732422
"252",14.5977354049683
"253",15.0276956558228
"254",10.7305316925049
"255",19.8488388061523
"256",22.500431060791
"257",25.6489906311035
"258",30.2165775299072
"259",33.3304862976074
"260",36.1591529846191
"261",40.220157623291
"262",42.8859558105469
"263",45.3721656799316
